API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22397-00-00,2/29/2008 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,1/31/2008 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,12/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,11/30/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,10/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,9/30/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,8/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,7/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,6/30/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,5/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,4/30/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,3/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,2/28/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,1/31/2007 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,12/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,11/30/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,10/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,9/30/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,8/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,7/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,6/30/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,5/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,4/30/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,3/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,2/28/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,1/31/2006 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,12/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,11/30/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,10/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,9/30/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,8/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,7/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,6/30/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,5/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,4/30/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,3/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,2/28/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,1/31/2005 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,12/31/2004 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,11/30/2004 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-22397-00-00,10/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,9/30/2004 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,8/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,7/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,6/30/2004 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,5/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,4/30/2004 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,3/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,2/29/2004 12:00:00 AM,Eagle,2356,0,0,0,29
25-005-22397-00-00,1/31/2004 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,12/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,11/30/2003 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,10/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,9/30/2003 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,8/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,7/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,6/30/2003 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,5/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,4/30/2003 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,3/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,2/28/2003 12:00:00 AM,Eagle,2356,0,0,0,28
25-005-22397-00-00,1/31/2003 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,12/31/2002 12:00:00 AM,Eagle,2356,0,0,0,31
25-005-22397-00-00,11/30/2002 12:00:00 AM,Eagle,2356,0,0,0,30
25-005-22397-00-00,10/31/2002 12:00:00 AM,Eagle,2356,0,0,0,31
